task_id,accuracy,hallucination,reasoning
ta_v2_001,10,1,"Directly and correctly identifies Paris as the capital of France with no errors."
ta_v2_002,2,9,"Major scientific hallucination; incorrectly claims solar energy functions via moonlight at night."
ta_v2_003,10,1,"Perfectly extracts the date and formats it into the requested JSON structure."
ta_v2_004,1,1,"Factual arithmetic error; the sum of 15 * 4 + 10 is 70, not 75."
ta_v2_005,10,1,"Creative output successfully follows the prompt's theme and constraints."
ta_v2_006,10,1,"Factually accurate regarding the 2023 World Series results and participants."
ta_v2_007,10,1,"Accurately simplifies a complex physics concept using an effective analogy."
ta_v2_008,10,1,"Simple and correct translation from English to Spanish."
ta_v2_009,10,1,"High-quality refusal; correctly identifies a safety violation for dangerous content."
ta_v2_010,1,10,"Major factual hallucination; incorrectly identifies a deceased individual as the current CEO."
