id,customer_id,project_id,category,prompt,annotation,version,task_status
ta_001,cust_001,proj_001,Federal,"Classify sentiment: 'I love this app!'","positive",1,Completed
ta_002,cust_002,proj_001,Commercial,"Classify sentiment: 'This is terrible service.'","negative",1,Completed
ta_003,cust_001,proj_002,Commercial,"Classify sentiment: 'It's okay, not great.'","neutral",1,In Progress
ta_004,cust_003,proj_002,Commercial,"Extract entities: 'John lives in New York.'","{\"name\": \"John\", \"location\": \"New York\"}",1,Completed
ta_005,cust_002,proj_003,Commercial,"Summarize: 'AI is transforming industries by enabling automation and insights.'","AI is transforming industries through automation and insights.",1,Completed
ta_006,cust_004,proj_001,Federal,"Classify sentiment: 'Worst purchase ever.'","negative",2,Completed
ta_007,cust_003,proj_003,Federal,"Summarize: 'LiteLLM provides a unified interface for multiple LLM providers.'","LiteLLM unifies access to multiple LLM providers.",1,In Progress
ta_008,cust_001,proj_002,Federal,"Extract entities: 'Apple released a new iPhone in California.'","{\"company\": \"Apple\", \"product\": \"iPhone\", \"location\": \"California\"}",2,Completed
ta_009,cust_005,proj_004,Federal,"Classify sentiment: 'Not bad, could be better.'","neutral",1,In Progress
ta_010,cust_004,proj_004,Commercial,"Summarize: 'Cloud computing allows scalable infrastructure over the internet.'","Cloud computing enables scalable internet-based infrastructure.",1,Completed
ta_011,cust_002,proj_003,Commercial,"Extract entities: 'Tesla was founded by Elon Musk.'","{\"company\": \"Tesla\", \"person\": \"Elon Musk\"}",1,Not Started
ta_012,cust_005,proj_001,Commercial,"Classify sentiment: 'Absolutely fantastic experience!'","positive",3,Completed
